timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 17:35:39.013, 0, 1147 MHz, 810 MHz, 42.79 W, 39, 18 %, 3178 MiB
2026/09/23 17:35:39.013, 1, 2812 MHz, 14001 MHz, 600.98 W, 69, 94 %, 395 MiB
2026/09/23 17:35:40.019, 0, 1177 MHz, 810 MHz, 42.29 W, 39, 16 %, 3178 MiB
2026/09/23 17:35:40.019, 1, 2820 MHz, 14001 MHz, 599.37 W, 69, 94 %, 395 MiB
2026/09/23 17:35:41.031, 0, 1102 MHz, 810 MHz, 41.94 W, 39, 15 %, 3178 MiB
2026/09/23 17:35:41.031, 1, 2812 MHz, 14001 MHz, 600.86 W, 69, 94 %, 395 MiB
2026/09/23 17:35:42.038, 0, 1155 MHz, 810 MHz, 43.24 W, 39, 19 %, 3178 MiB
2026/09/23 17:35:42.038, 1, 2812 MHz, 14001 MHz, 600.50 W, 69, 95 %, 395 MiB
2026/09/23 17:35:43.038, 0, 1282 MHz, 810 MHz, 41.77 W, 39, 11 %, 3178 MiB
2026/09/23 17:35:43.038, 1, 2812 MHz, 14001 MHz, 599.99 W, 69, 95 %, 395 MiB
2026/09/23 17:35:44.045, 0, 1207 MHz, 810 MHz, 42.12 W, 39, 8 %, 3178 MiB
2026/09/23 17:35:44.045, 1, 2805 MHz, 14001 MHz, 599.94 W, 69, 94 %, 395 MiB
2026/09/23 17:35:45.057, 0, 1012 MHz, 405 MHz, 42.13 W, 39, 29 %, 3178 MiB
2026/09/23 17:35:45.057, 1, 2812 MHz, 14001 MHz, 600.33 W, 69, 94 %, 395 MiB
2026/09/23 17:35:46.072, 0, 1057 MHz, 810 MHz, 41.71 W, 39, 11 %, 3178 MiB
2026/09/23 17:35:46.072, 1, 2805 MHz, 14001 MHz, 599.56 W, 69, 93 %, 395 MiB
2026/09/23 17:35:47.075, 0, 1545 MHz, 7001 MHz, 47.63 W, 39, 3 %, 3178 MiB
2026/09/23 17:35:47.075, 1, 2812 MHz, 14001 MHz, 600.24 W, 69, 94 %, 395 MiB
2026/09/23 17:35:48.078, 0, 1470 MHz, 7001 MHz, 48.81 W, 40, 4 %, 3178 MiB
2026/09/23 17:35:48.078, 1, 2812 MHz, 14001 MHz, 599.98 W, 69, 94 %, 395 MiB
2026/09/23 17:35:49.094, 0, 885 MHz, 405 MHz, 40.84 W, 39, 22 %, 3178 MiB
2026/09/23 17:35:49.094, 1, 2812 MHz, 14001 MHz, 600.00 W, 69, 94 %, 395 MiB
2026/09/23 17:35:50.096, 0, 1425 MHz, 810 MHz, 43.26 W, 39, 15 %, 3179 MiB
2026/09/23 17:35:50.096, 1, 2812 MHz, 14001 MHz, 599.79 W, 69, 93 %, 395 MiB
2026/09/23 17:35:51.100, 0, 1410 MHz, 810 MHz, 44.89 W, 40, 22 %, 3179 MiB
2026/09/23 17:35:51.100, 1, 2812 MHz, 14001 MHz, 599.99 W, 69, 94 %, 395 MiB
2026/09/23 17:35:52.103, 0, 1477 MHz, 7001 MHz, 46.53 W, 40, 5 %, 3179 MiB
2026/09/23 17:35:52.103, 1, 2812 MHz, 14001 MHz, 599.72 W, 69, 93 %, 395 MiB
2026/09/23 17:35:53.105, 0, 1327 MHz, 810 MHz, 44.94 W, 40, 14 %, 3179 MiB
2026/09/23 17:35:53.105, 1, 2812 MHz, 14001 MHz, 600.52 W, 69, 94 %, 395 MiB
2026/09/23 17:35:54.111, 0, 1155 MHz, 810 MHz, 42.07 W, 39, 12 %, 3179 MiB
2026/09/23 17:35:54.111, 1, 2812 MHz, 14001 MHz, 600.18 W, 69, 95 %, 395 MiB
2026/09/23 17:35:55.112, 0, 1410 MHz, 810 MHz, 43.31 W, 40, 12 %, 3179 MiB
2026/09/23 17:35:55.112, 1, 2805 MHz, 14001 MHz, 599.86 W, 69, 95 %, 18 MiB
2026/09/23 17:35:56.120, 0, 1275 MHz, 810 MHz, 45.14 W, 40, 17 %, 3179 MiB
2026/09/23 17:35:56.120, 1, 2955 MHz, 14001 MHz, 274.73 W, 55, 0 %, 18 MiB
2026/09/23 17:35:57.122, 0, 1042 MHz, 405 MHz, 41.69 W, 40, 12 %, 3179 MiB
2026/09/23 17:35:57.122, 1, 2932 MHz, 14001 MHz, 230.83 W, 69, 100 %, 395 MiB
2026/09/23 17:35:58.129, 0, 1267 MHz, 810 MHz, 42.98 W, 40, 7 %, 3179 MiB
2026/09/23 17:35:58.129, 1, 2797 MHz, 14001 MHz, 601.67 W, 69, 100 %, 395 MiB
2026/09/23 17:35:59.131, 0, 1050 MHz, 405 MHz, 41.82 W, 40, 28 %, 3179 MiB
2026/09/23 17:35:59.131, 1, 2790 MHz, 14001 MHz, 600.28 W, 69, 100 %, 395 MiB
2026/09/23 17:36:00.135, 0, 1065 MHz, 810 MHz, 42.40 W, 40, 14 %, 3179 MiB
2026/09/23 17:36:00.135, 1, 2782 MHz, 14001 MHz, 600.01 W, 69, 100 %, 395 MiB
2026/09/23 17:36:01.151, 0, 1005 MHz, 405 MHz, 42.28 W, 40, 10 %, 3179 MiB
2026/09/23 17:36:01.151, 1, 2782 MHz, 14001 MHz, 600.09 W, 69, 100 %, 395 MiB
2026/09/23 17:36:02.152, 0, 1012 MHz, 405 MHz, 41.42 W, 40, 3 %, 3179 MiB
2026/09/23 17:36:02.152, 1, 2782 MHz, 14001 MHz, 600.00 W, 69, 100 %, 395 MiB
